iter	Passed	Remaining
0	2	232
1	3	192
2	4	157
3	5	134
4	6	123
5	7	115
6	8	114
7	9	113
8	10	109
9	11	107
10	13	106
11	14	104
12	16	107
13	17	107
14	18	105
15	19	102
16	20	101
17	22	100
18	23	98
19	24	96
20	25	94
21	26	92
22	27	92
23	28	90
24	29	88
25	30	87
26	32	86
27	33	85
28	34	83
29	35	82
30	36	80
31	37	79
32	38	77
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	44	69
39	46	69
40	47	68
41	48	66
42	49	65
43	50	63
44	51	62
45	52	61
46	53	59
47	54	58
48	55	57
49	56	56
50	57	55
51	58	54
52	59	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	73	39
65	74	38
66	75	37
67	77	36
68	78	35
69	79	34
70	80	33
71	82	32
72	83	30
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	99	16
86	100	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
